N=100000000 D=3 K=0.400000
day	S	I	R
0	100000000	0	0
1	99999999	1	0
2	99999999	1	0
3	99999998	2	0
4	99999997	2	1
5	99999997	2	1
6	99999996	2	2
7	99999995	2	3
8	99999994	3	3
9	99999993	3	4
10	99999992	3	5
11	99999990	4	6
12	99999989	4	7
13	99999987	4	8
14	99999986	5	10
15	99999984	5	11
16	99999982	6	13
17	99999979	6	14
18	99999977	7	16
19	99999974	7	18
20	99999971	8	21
21	99999968	9	23
22	99999964	10	26
23	99999960	11	29
24	99999956	12	32
25	99999951	13	36
26	99999946	14	40
27	99999940	16	44
28	99999934	17	49
29	99999927	19	54
30	99999919	21	60
31	99999911	23	66
32	99999902	25	73
33	99999892	27	81
34	99999881	30	89
35	99999869	33	98
36	99999856	36	108
37	99999841	40	119
38	99999826	44	131
39	99999808	48	144
40	99999789	52	159
41	99999768	57	174
42	99999745	63	192
43	99999720	69	211
44	99999692	76	232
45	99999662	83	255
46	99999629	91	280
47	99999592	100	308
48	99999552	110	338
49	99999508	120	371
50	99999460	132	408
51	99999407	145	448
52	99999349	159	492
53	99999286	174	540
54	99999216	191	593
55	99999139	210	651
56	99999055	230	714
57	99998963	253	784
58	99998862	277	861
59	99998751	304	945
60	99998630	334	1037
61	99998496	366	1138
62	99998350	401	1249
63	99998189	440	1370
64	99998013	483	1504
65	99997820	530	1650
66	99997608	581	1811
67	99997376	638	1987
68	99997121	699	2180
69	99996841	767	2392
70	99996534	842	2624
71	99996197	923	2879
72	99995828	1013	3159
73	99995423	1111	3466
74	99994978	1219	3803
75	99994491	1337	4172
76	99993956	1467	4577
77	99993369	1609	5022
78	99992726	1765	5509
79	99992020	1936	6044
80	99991245	2124	6631
81	99990396	2330	7274
82	99989464	2556	7980
83	99988442	2804	8755
84	99987320	3076	9604
85	99986090	3374	10536
86	99984741	3701	11558
87	99983261	4059	12680
88	99981637	4453	13910
89	99979857	4884	15259
90	99977903	5358	16739
91	99975761	5877	18363
92	99973411	6446	20143
93	99970833	7070	22097
94	99968005	7755	24239
95	99964904	8506	26589
96	99961503	9330	29167
97	99957773	10233	31995
98	99953681	11223	35096
99	99949194	12309	38497
100	99944273	13500	42227
101	99938876	14805	46319
102	99932958	16236	50806
103	99926468	17805	55727
104	99919351	19526	61124
105	99911547	21411	67042
106	99902990	23478	73532
107	99893608	25743	80649
108	99883322	28225	88453
109	99872045	30945	97010
110	99859683	33925	106392
111	99846132	37190	116678
112	99831279	40766	127955
113	99815000	44683	140317
114	99797160	48972	153868
115	99777611	53668	168721
116	99756191	58809	185000
117	99732725	64435	202840
118	99707020	70591	222389
119	99678867	77325	243809
120	99648036	84689	267275
121	99614280	92741	292980
122	99577327	101540	321133
123	99536882	111154	351964
124	99492627	121653	385720
125	99444212	133114	422673
126	99391262	145620	463118
127	99333369	159258	507373
128	99270091	174122	555788
129	99200950	190312	608738
130	99125434	207935	666631
131	99042987	227103	729909
132	98953015	247935	799050
133	98854880	270554	874566
134	98747897	295090	957013
135	98631339	321676	1046985
136	98504430	350450	1145120
137	98366346	381551	1252103
138	98216219	415120	1368661
139	98053133	451297	1495570
140	97876128	490218	1633654
141	97684206	532013	1783781
142	97476329	576804	1946867
143	97251430	624698	2123872
144	97008419	675787	2315794
145	96746191	730138	2523671
146	96463639	787792	2748570
147	96159666	848753	2991581
148	95833202	912989	3253809
149	95483224	980415	3536361
150	95108771	1050895	3840334
151	94708974	1124228	4166798
152	94283076	1200148	4516776
153	93830462	1278310	4891229
154	93350684	1358290	5291026
155	92843495	1439581	5716924
156	92308872	1521590	6169538
157	91747047	1603637	6649316
158	91158531	1684964	7156505
159	90544136	1764736	7691128
160	89904989	1842057	8252953
161	89242549	1915982	8841469
162	88558600	1985535	9455864
163	87855256	2049734	10095011
164	87134936	2107613	10757451
165	86400349	2158251	11441400
166	85654454	2200801	12144744
167	84900421	2234515	12865064
168	84141576	2258773	13599651
169	83381349	2273106	14345546
170	82623210	2277211	15099579
171	81870608	2270967	15858424
172	81126906	2254442	16618651
173	80395323	2227887	17376790
174	79678876	2191733	18129392
175	78980337	2146570	18873094
176	78302189	2093133	19604677
177	77646602	2032274	20321124
178	77015405	1964932	21019663
179	76410085	1892104	21697811
180	75831782	1814820	22353398
181	75281297	1734108	22984595
182	74759114	1650971	23589915
183	74265413	1566368	24168218
184	73800106	1481192	24718703
185	73362857	1396257	25240886
186	72953123	1312290	25734587
187	72570181	1229925	26199894
188	72213157	1149700	26637143
189	71881064	1072060	27046877
190	71572820	997360	27429819
191	71287285	925873	27786843
192	71023273	857791	28118936
193	70779581	793240	28427180
194	70555000	732285	28712715
195	70348335	674938	28976727
196	70158411	621169	29220419
197	69984090	570910	29445000
198	69824272	524063	29651665
199	69677903	480509	29841589
200	69543980	440111	30015910
201	69421551	402721	30175728
202	69309721	368182	30322097
203	69207647	336332	30456020
204	69114540	307011	30578449
205	69029664	280057	30690279
206	68952335	255312	30792353
207	68881918	232622	30885460
208	68817824	211840	30970336
209	68759510	192825	31047665
210	68706476	175442	31118082
211	68658260	159564	31182176
212	68614439	145071	31240490
213	68574623	131853	31293524
214	68538456	119805	31341740
215	68505611	108828	31385561
216	68475790	98833	31425377
217	68448719	89737	31461544
218	68424149	81462	31494389
219	68401854	73936	31524210
220	68381624	67095	31551281
221	68363272	60877	31575851
222	68346625	55229	31598146
223	68331526	50098	31618376
224	68317833	45439	31636728
225	68305416	41209	31653375
226	68294156	37370	31668474
227	68283948	33885	31682167
228	68274693	30723	31694584
229	68266302	27854	31705844
230	68258696	25252	31716052
231	68251802	22891	31725307
232	68245553	20750	31733698
233	68239888	18808	31741304
234	68234754	17048	31748198
235	68230101	15451	31754447
236	68225884	14004	31760112
237	68222063	12692	31765246
238	68218599	11502	31769899
239	68215461	10424	31774116
240	68212616	9446	31777937
241	68210039	8560	31781401
242	68207703	7757	31784539
243	68205587	7029	31787384
244	68203669	6370	31789961
245	68201932	5772	31792297
246	68200357	5230	31794413
247	68198930	4739	31796331
248	68197637	4294	31798068
249	68196466	3891	31799643
250	68195404	3526	31801070
251	68194443	3195	31802363
252	68193571	2895	31803534
253	68192782	2623	31804596
254	68192066	2376	31805557
255	68191418	2153	31806429
256	68190831	1951	31807218
257	68190299	1768	31807934
258	68189816	1602	31808582
259	68189380	1451	31809169
260	68188984	1315	31809701
261	68188625	1191	31810184
262	68188300	1079	31810620
263	68188006	978	31811016
264	68187739	886	31811375
265	68187497	803	31811700
266	68187278	727	31811994
267	68187080	659	31812261
268	68186900	597	31812503
269	68186737	541	31812722
270	68186590	490	31812920
271	68186456	444	31813100
272	68186335	402	31813263
273	68186225	365	31813410
274	68186126	330	31813544
275	68186036	299	31813665
276	68185954	271	31813775
277	68185880	246	31813874
278	68185813	223	31813964
279	68185753	202	31814046
280	68185698	183	31814120
281	68185648	166	31814187
282	68185603	150	31814247
283	68185562	136	31814302
284	68185525	123	31814352
285	68185491	112	31814397
286	68185461	101	31814438
287	68185433	92	31814475
288	68185408	83	31814509
289	68185385	75	31814539
290	68185365	68	31814567
291	68185346	62	31814592
292	68185330	56	31814615
293	68185314	51	31814635
294	68185300	46	31814654
295	68185288	42	31814670
296	68185277	38	31814686
297	68185266	34	31814700
298	68185257	31	31814712
299	68185249	28	31814723
300	68185241	25	31814734
301	68185234	23	31814743
302	68185228	21	31814751
303	68185222	19	31814759
304	68185217	17	31814766
305	68185212	15	31814772
306	68185208	14	31814778
307	68185204	13	31814783
308	68185201	12	31814788
309	68185198	10	31814792
310	68185195	9	31814796
311	68185192	9	31814799
312	68185190	8	31814802
313	68185188	7	31814805
314	68185186	6	31814808
315	68185184	6	31814810
316	68185182	5	31814812
317	68185181	5	31814814
318	68185180	4	31814816
319	68185179	4	31814818
320	68185177	4	31814819
321	68185177	3	31814820
322	68185176	3	31814821
323	68185175	3	31814823
324	68185174	2	31814823
325	68185173	2	31814824
326	68185173	2	31814825
327	68185172	2	31814826
328	68185172	2	31814827
329	68185171	1	31814827
330	68185171	1	31814828
331	68185171	1	31814828
332	68185170	1	31814829
333	68185170	1	31814829
334	68185170	1	31814829
335	68185170	1	31814830
336	68185169	1	31814830
337	68185169	1	31814830
338	68185169	1	31814830
339	68185169	1	31814831
340	68185169	0	31814831
