N=100000000 D=3 K=0.800000
day	S	I	R
0	100000000	0	0
1	99999999	1	0
2	99999998	2	0
3	99999997	3	0
4	99999994	5	1
5	99999990	8	2
6	99999984	13	3
7	99999974	20	6
8	99999957	33	10
9	99999931	53	16
10	99999889	85	26
11	99999821	136	43
12	99999712	219	69
13	99999536	353	111
14	99999254	567	179
15	99998801	911	288
16	99998072	1464	464
17	99996901	2353	746
18	99995019	3782	1199
19	99991993	6079	1928
20	99987130	9771	3099
21	99979314	15705	4981
22	99966752	25241	8007
23	99946567	40563	12870
24	99914133	65180	20686
25	99862034	104719	33248
26	99778375	168192	53433
27	99644119	270014	85867
28	99428877	433157	137966
29	99084330	694045	221625
30	98534179	1109941	355881
31	97659242	1769635	571123
32	96276672	2807658	915670
33	94114177	4420002	1465821
34	90786298	6872944	2340758
35	85794545	10482127	3723328
36	78600070	15514106	5885823
37	68844792	21941506	9213702
38	56760324	29034221	14205455
39	43576390	35023681	21399930
40	31366745	37478046	31155208
41	21962231	34798094	43239676
42	15848281	27728109	56423610
43	12332738	19034008	68633255
44	10454806	11507424	78037769
45	9492343	6355937	84151719
46	9009681	3323056	87667262
47	8770164	1684642	89545194
48	8651967	840376	90507657
49	8593800	415881	90990319
50	8565208	204956	91229836
51	8551164	100803	91348033
52	8544268	49532	91406200
53	8540882	24326	91434792
54	8539220	11944	91448836
55	8538404	5864	91455732
56	8538004	2879	91459118
57	8537807	1413	91460780
58	8537711	694	91461596
59	8537663	341	91461996
60	8537640	167	91462193
61	8537629	82	91462289
62	8537623	40	91462337
63	8537620	20	91462360
64	8537619	10	91462371
65	8537618	5	91462377
66	8537618	2	91462380
67	8537618	1	91462381
68	8537618	1	91462382
69	8537618	0	91462382
