N=100000000 D=3 K=0.500000
day	S	I	R
0	100000000	0	0
1	99999999	1	0
2	99999999	1	0
3	99999998	2	0
4	99999997	2	1
5	99999995	3	1
6	99999994	4	2
7	99999992	5	3
8	99999990	6	5
9	99999987	7	6
10	99999983	9	8
11	99999979	11	10
12	99999973	13	13
13	99999967	16	17
14	99999958	20	21
15	99999948	25	27
16	99999936	31	33
17	99999920	38	42
18	99999901	47	52
19	99999878	58	64
20	99999849	72	80
21	99999813	89	99
22	99999768	109	122
23	99999714	135	151
24	99999646	166	187
25	99999563	205	232
26	99999461	253	286
27	99999334	312	354
28	99999178	385	437
29	99998986	475	539
30	99998748	586	666
31	99998455	723	822
32	99998093	892	1014
33	99997647	1101	1252
34	99997096	1358	1545
35	99996417	1676	1907
36	99995579	2068	2353
37	99994546	2551	2904
38	99993270	3147	3583
39	99991697	3882	4421
40	99989756	4790	5454
41	99987361	5909	6730
42	99984407	7290	8303
43	99980763	8993	10244
44	99976267	11094	12639
45	99970722	13686	15593
46	99963881	16882	19237
47	99955443	20824	23733
48	99945035	25686	29278
49	99932199	31682	36119
50	99916369	39074	44557
51	99896848	48187	54965
52	99872780	59419	67801
53	99843108	73261	83631
54	99806535	90313	103152
55	99761466	111314	127220
56	99705941	137167	156892
57	99637560	168975	193465
58	99553378	208088	238534
59	99449799	256142	294059
60	99322432	315127	362440
61	99165937	387442	446622
62	98973831	475968	550201
63	98738290	584143	677568
64	98449904	716033	834063
65	98097437	876395	1026169
66	97667576	1070713	1261710
67	97144706	1305197	1550096
68	96510741	1586695	1902563
69	95745076	1922501	2332424
70	94824726	2319981	2855294
71	93724768	2785973	3489259
72	92419195	3325881	4254924
73	90882319	3942407	5175274
74	89090843	4633925	6275232
75	87026642	5392553	7580805
76	84680163	6202156	9117681
77	82054165	7036678	10909157
78	79167221	7859421	12973358
79	76056179	8623984	15319837
80	72776642	9277523	17945835
81	69400707	9766514	20832779
82	66011693	10044486	23943821
83	62696425	10080217	27223358
84	59536457	9864250	30599293
85	56600045	9411648	33988307
86	53936546	8759879	37303575
87	51574158	7962299	40463543
88	49520914	7079131	43399955
89	47768089	6168458	46063454
90	46294811	5279347	48425842
91	45072780	4448134	50479086
92	44070331	3697758	52231911
93	43255524	3039288	53705189
94	42598194	2474586	54927220
95	42071129	1999201	55929669
96	41650586	1604938	56744476
97	41316353	1281841	57401806
98	41051548	1019581	57928871
99	40842271	808315	58349414
100	40677204	639149	58683647
101	40547210	504338	58948452
102	40444963	397308	59157729
103	40364617	312587	59322796
104	40301530	245680	59452790
105	40252023	192939	59555037
106	40213192	151425	59635383
107	40182746	118784	59698470
108	40158881	93143	59747977
109	40140178	73014	59786808
110	40125524	57222	59817254
111	40114044	44837	59841119
112	40105051	35127	59859822
113	40098007	27517	59874476
114	40092490	21554	59885956
115	40088169	16882	59894949
116	40084786	13221	59901993
117	40082136	10354	59907510
118	40080061	8109	59911831
119	40078436	6350	59915214
120	40077163	4973	59917864
121	40076167	3894	59919939
122	40075387	3049	59921564
123	40074776	2388	59922837
124	40074297	1870	59923833
125	40073922	1464	59924613
126	40073629	1146	59925224
127	40073399	898	59925703
128	40073220	703	59926078
129	40073079	550	59926371
130	40072968	431	59926601
131	40072882	337	59926780
132	40072814	264	59926921
133	40072761	207	59927032
134	40072720	162	59927118
135	40072688	127	59927186
136	40072662	99	59927239
137	40072642	78	59927280
138	40072627	61	59927312
139	40072614	48	59927338
140	40072605	37	59927358
141	40072597	29	59927373
142	40072592	23	59927386
143	40072587	18	59927395
144	40072583	14	59927403
145	40072581	11	59927408
146	40072578	9	59927413
147	40072577	7	59927417
148	40072575	5	59927419
149	40072574	4	59927422
150	40072573	3	59927423
151	40072573	3	59927425
152	40072572	2	59927426
153	40072572	2	59927427
154	40072572	1	59927427
155	40072571	1	59927428
156	40072571	1	59927428
157	40072571	1	59927428
158	40072571	0	59927429
